date,product,region,sales_amount,units_sold,customer_satisfaction,delivery_time_days,is_promotional
2023-02-07,Smartwatch,East,1426.69,19,3.9,4,False
2023-02-08,Smartwatch,East,1725.51,43,3.2,5,False
2023-02-09,Smartwatch,East,1922.51,13,4.0,9,False
2023-02-10,Headphones,West,1001.07,34,3.3,6,False
2023-02-11,Laptop,South,1945.11,46,3.2,5,False
2023-02-12,Headphones,East,882.08,20,3.6,6,True
2023-02-13,Headphones,West,514.44,18,4.7,6,False
2023-02-14,Laptop,West,1076.45,48,4.6,9,False
2023-02-15,Laptop,North,1334.66,36,4.9,7,False
2023-02-16,Laptop,West,970.13,1,3.9,7,False
2023-02-17,Laptop,Central,1177.25,26,3.6,4,False
2023-02-18,Smartwatch,West,891.18,3,4.9,5,False
2023-02-19,Tablet,Central,1097.05,44,3.8,7,False
2023-02-20,Tablet,Central,1909.93,3,3.0,8,True
2023-02-21,Laptop,North,1049.68,21,4.6,6,False
2023-02-22,Tablet,North,581.04,18,3.3,8,True
2023-02-23,Tablet,West,1541.62,31,4.4,9,True
2023-02-24,Laptop,North,741.41,36,3.0,1,True
2023-02-25,Tablet,North,1650.79,49,3.2,4,True
2023-02-26,Headphones,East,208.0,44,4.0,9,True
2023-02-27,Smartphone,West,731.14,31,3.1,5,True
2023-02-28,Smartphone,West,279.28,8,4.8,4,True
2023-03-01,Laptop,West,262.1,25,4.5,9,False
2023-03-02,Smartwatch,North,1350.94,49,3.7,2,False
2023-03-03,Laptop,North,832.14,46,4.2,2,True
2023-03-04,Smartwatch,Central,1755.81,20,4.4,8,False
2023-03-05,Smartphone,South,1081.17,11,4.5,8,False
2023-03-06,Laptop,South,661.15,40,3.8,5,False
2023-03-07,Headphones,South,1469.69,1,4.8,6,True
2023-03-08,Tablet,East,1285.63,21,4.9,5,False
2023-03-09,Smartwatch,North,1619.23,17,3.4,8,True
2023-03-10,Tablet,Central,1322.82,28,4.8,6,True
2023-03-11,Tablet,Central,417.33,18,4.4,6,True
2023-03-12,Laptop,South,1373.59,29,4.8,7,False
2023-03-13,Tablet,East,843.94,10,3.8,2,True
2023-03-14,Headphones,East,979.97,9,4.3,9,True
2023-03-15,Tablet,South,1850.97,34,3.5,3,False
2023-03-16,Laptop,South,783.93,20,4.5,9,False
2023-03-17,Headphones,North,1262.72,31,4.2,5,False
2023-03-18,Smartphone,East,790.62,3,4.0,1,False
2023-03-19,Tablet,Central,279.98,1,4.4,4,True
2023-03-20,Laptop,South,961.7,33,4.1,6,True
2023-03-21,Smartphone,North,1234.42,8,4.5,3,True
2023-03-22,Smartphone,Central,874.26,18,4.7,6,True
2023-03-23,Smartwatch,East,842.27,30,4.6,1,False
2023-03-24,Headphones,South,1658.72,33,3.6,9,True
2023-03-25,Tablet,South,156.4,22,5.0,9,False
2023-03-26,Laptop,North,661.61,17,4.3,4,False
2023-03-27,Smartwatch,North,1642.34,42,3.6,2,False
2023-03-28,Headphones,East,1849.01,9,3.1,8,False
2023-03-29,Smartwatch,South,883.37,22,5.0,7,False
2023-03-30,Headphones,North,1788.71,10,4.2,1,False
2023-03-31,Headphones,South,477.97,33,3.5,6,True
2023-04-01,Tablet,East,520.71,48,4.0,5,False
2023-04-02,Headphones,South,1707.76,39,3.8,2,False
2023-04-03,Smartwatch,Central,1816.19,3,4.9,5,False
2023-04-04,Headphones,South,523.33,17,4.0,6,True
2023-04-05,Tablet,West,212.72,9,4.0,6,True
2023-04-06,Tablet,West,271.62,47,4.6,2,False
2023-04-07,Smartwatch,East,596.62,40,3.8,1,False
2023-04-08,Smartphone,East,1546.75,36,3.4,4,True
2023-04-09,Smartphone,East,1068.98,19,4.5,4,True
2023-04-10,Headphones,Central,965.62,34,4.8,9,True
2023-04-11,Laptop,Central,1209.87,2,3.1,1,True
2023-04-12,Headphones,South,1791.42,45,4.7,1,True
2023-04-13,Smartwatch,North,271.82,27,3.9,8,True
2023-04-14,Smartwatch,West,1419.98,19,3.6,5,True
2023-04-15,Smartwatch,West,1860.9,33,3.1,9,True
2023-04-16,Smartwatch,West,505.37,26,3.4,6,False
2023-04-17,Smartwatch,South,1691.77,47,3.7,3,True
2023-04-18,Tablet,South,1426.25,34,3.1,1,True
2023-04-19,Smartphone,East,127.49,28,3.4,6,True
2023-04-20,Smartwatch,North,540.06,16,4.5,3,True
2023-04-21,Laptop,East,1251.11,22,4.4,4,False
2023-04-22,Laptop,South,1054.56,28,4.5,3,False
2023-04-23,Laptop,Central,1103.08,14,3.3,7,True
2023-04-24,Laptop,East,540.67,6,3.1,9,True
2023-04-25,Tablet,South,1382.51,11,3.9,5,True
2023-04-26,Laptop,South,606.19,46,3.7,6,True
2023-04-27,Smartwatch,Central,839.93,20,4.6,5,False
2023-04-28,Headphones,Central,800.94,36,4.1,3,False
2023-04-29,Laptop,Central,1376.85,49,4.9,3,False
2023-04-30,Tablet,North,271.48,16,3.1,4,True
2023-05-01,Tablet,South,490.53,6,3.7,5,True
2023-05-02,Laptop,Central,480.94,8,3.8,7,False
2023-05-03,Headphones,North,306.01,45,3.3,9,False
2023-05-04,Laptop,West,494.43,36,4.2,5,False
2023-05-05,Tablet,West,1253.41,48,3.1,2,False
2023-05-06,Smartphone,West,1491.12,49,4.4,9,True
2023-05-07,Smartwatch,South,1354.58,4,3.1,5,True
2023-05-08,Tablet,North,1002.86,48,4.7,6,False
2023-05-09,Laptop,North,199.63,34,3.1,9,False
2023-05-10,Smartwatch,West,1922.11,20,3.9,4,False
2023-05-11,Laptop,East,419.35,24,3.3,3,False
2023-05-12,Laptop,West,1370.0,45,3.3,4,False
2023-05-13,Smartphone,South,1834.49,3,4.4,8,True
2023-05-14,Smartwatch,West,1425.78,28,4.5,7,True
2023-05-15,Smartwatch,West,514.29,30,4.5,7,True
2023-05-16,Smartphone,North,700.01,29,3.8,1,True
2023-05-17,Tablet,West,157.39,21,5.0,2,True
2023-05-18,Laptop,Central,1264.24,42,3.7,3,False
2023-05-19,Headphones,Central,1264.69,27,3.5,1,True
2023-05-20,Laptop,East,1478.45,25,5.0,9,True
2023-05-21,Laptop,South,120.89,3,5.0,9,False
2023-05-22,Tablet,South,1653.9,1,4.2,5,True
2023-05-23,Laptop,North,1503.55,23,3.4,4,True
2023-05-24,Smartphone,South,367.68,43,3.5,3,True
2023-05-25,Smartphone,East,760.49,5,4.0,9,False
2023-05-26,Smartwatch,Central,1313.2,31,4.6,2,True
2023-05-27,Headphones,North,1042.01,25,3.2,8,False
2023-05-28,Laptop,Central,318.68,35,4.4,7,False
2023-05-29,Laptop,East,265.96,43,3.2,2,True
2023-05-30,Tablet,North,1584.77,1,4.7,3,True
2023-05-31,Smartphone,West,396.34,15,4.1,2,False
2023-06-01,Headphones,South,426.98,39,5.0,3,False
2023-06-02,Smartwatch,East,1678.75,24,4.5,4,True
2023-06-03,Smartphone,North,1263.07,34,4.0,5,True
2023-06-04,Smartwatch,Central,1248.96,47,3.3,2,False
2023-06-05,Tablet,North,1010.76,18,4.1,7,True
2023-06-06,Tablet,West,1181.09,25,3.2,4,False
2023-06-07,Laptop,East,1243.36,36,4.8,1,False
2023-06-08,Headphones,North,1938.87,1,3.5,4,True
2023-06-09,Smartwatch,East,523.65,9,4.7,9,False
2023-06-10,Smartphone,East,507.67,41,3.6,5,True
2023-06-11,Tablet,Central,208.72,31,3.4,2,False
2023-06-12,Laptop,South,1350.58,22,3.6,6,True
2023-06-13,Laptop,West,1143.18,38,4.4,7,False
2023-06-14,Smartwatch,North,311.35,46,4.1,2,True
2023-06-15,Tablet,South,792.62,41,3.2,2,True
2023-06-16,Headphones,Central,439.46,2,3.3,3,False
2023-06-17,Tablet,South,729.82,41,3.8,4,True
2023-06-18,Smartwatch,East,1907.4,45,3.7,5,False
2023-06-19,Smartwatch,East,1398.31,20,4.7,3,True
2023-06-20,Tablet,West,114.38,23,4.1,4,True
2023-06-21,Smartwatch,North,579.77,12,3.4,7,True
2023-06-22,Tablet,North,119.69,10,3.1,6,True
2023-06-23,Smartphone,Central,1458.25,32,3.2,2,True
2023-06-24,Tablet,West,991.9,5,4.4,7,False
2023-06-25,Tablet,North,1988.64,44,4.7,2,True
2023-06-26,Smartwatch,East,1493.81,29,4.6,3,True
2023-06-27,Smartwatch,West,1084.03,33,4.6,1,True
2023-06-28,Laptop,South,1628.94,23,3.5,6,True
2023-06-29,Laptop,West,1439.13,36,5.0,4,False
2023-06-30,Smartphone,West,563.17,13,3.2,9,False
2023-07-01,Laptop,North,1107.49,2,4.6,4,True
2023-07-02,Tablet,Central,1156.4,11,3.2,6,True
2023-07-03,Smartwatch,Central,957.34,28,3.5,8,False
2023-07-04,Laptop,North,440.47,25,4.0,5,True
2023-07-05,Laptop,North,524.4,36,3.1,3,True
2023-07-06,Smartphone,North,633.99,18,3.8,9,False
2023-07-07,Smartphone,Central,119.48,39,3.7,3,True
2023-07-08,Tablet,North,1842.19,9,4.3,9,True
2023-07-09,Smartwatch,South,1403.58,2,4.4,2,True
2023-07-10,Smartphone,South,1410.27,36,3.2,8,True
2023-07-11,Laptop,East,1187.43,46,3.1,6,True
2023-07-12,Smartwatch,South,1409.69,17,4.6,9,True
2023-07-13,Smartwatch,West,1965.54,33,4.1,5,False
2023-07-14,Laptop,East,831.8,35,4.1,4,True
2023-07-15,Smartphone,South,1453.8,33,5.0,2,False
2023-07-16,Laptop,West,783.11,32,3.9,1,False
2023-07-17,Smartwatch,South,1723.15,20,3.4,4,False
2023-07-18,Headphones,West,1730.25,30,4.4,8,True
2023-07-19,Headphones,North,1814.31,22,4.6,9,False
2023-07-20,Tablet,West,110.38,25,4.0,1,False
2023-07-21,Laptop,North,666.56,45,4.4,2,False
2023-07-22,Laptop,West,354.46,46,4.0,3,False
2023-07-23,Tablet,West,962.57,44,3.8,8,False
2023-07-24,Tablet,South,1041.35,11,3.1,9,False
2023-07-25,Tablet,West,586.22,34,3.3,3,False
2023-07-26,Smartwatch,South,1474.55,28,4.0,4,False
2023-07-27,Laptop,West,612.56,35,3.8,8,False
2023-07-28,Smartwatch,Central,1722.39,4,4.7,3,False
2023-07-29,Tablet,East,437.55,9,3.2,6,True
2023-07-30,Laptop,South,797.75,43,3.1,1,True
2023-07-31,Smartwatch,South,1282.25,22,3.2,7,True
2023-08-01,Smartwatch,North,1250.14,25,4.4,5,False
2023-08-02,Tablet,Central,248.26,21,4.2,4,False
2023-08-03,Laptop,North,1707.89,25,4.3,8,True
2023-08-04,Tablet,Central,1236.32,41,3.3,8,True
2023-08-05,Laptop,Central,1752.73,17,4.0,7,False
2023-08-06,Headphones,West,1748.51,15,4.5,1,True
2023-08-07,Smartphone,North,1137.25,41,4.4,6,False
2023-08-08,Smartphone,East,1830.48,7,3.9,3,True
2023-08-09,Smartphone,Central,1711.97,32,3.2,8,True
2023-08-10,Tablet,Central,1920.43,8,4.7,3,False
2023-08-11,Headphones,South,1715.95,3,4.1,8,False
2023-08-12,Laptop,West,1660.29,33,4.8,5,False
2023-08-13,Smartwatch,East,991.78,36,3.9,5,True
2023-08-14,Laptop,Central,502.86,17,3.5,8,False
2023-08-15,Smartwatch,South,1830.35,1,3.6,3,False
2023-08-16,Laptop,North,1472.84,36,3.8,4,False
2023-08-17,Headphones,Central,635.32,40,4.2,1,True
2023-08-18,Smartwatch,South,747.89,17,4.5,9,True
2023-08-19,Tablet,North,1403.55,44,3.5,3,True
2023-08-20,Laptop,West,1007.85,48,3.4,8,False
2023-08-21,Laptop,North,254.82,37,3.4,1,True
2023-08-22,Smartwatch,Central,368.75,25,4.9,1,True
2023-08-23,Tablet,East,1516.73,25,3.3,6,False
2023-08-24,Tablet,North,724.28,13,3.7,6,True
2023-08-25,Headphones,East,1064.53,13,4.0,7,False
2023-08-26,Tablet,East,1556.58,12,4.1,1,True
2023-08-27,Tablet,North,1527.23,32,4.7,3,True
2023-08-28,Tablet,West,417.33,35,3.2,4,False
2023-08-29,Smartphone,North,286.95,28,3.2,9,True
2023-08-30,Headphones,South,1223.19,44,3.6,8,True
2023-08-31,Laptop,East,1509.1,20,3.8,4,False
2023-09-01,Smartwatch,Central,383.18,28,3.7,7,True
2023-09-02,Laptop,East,806.72,31,3.8,9,True
2023-09-03,Headphones,Central,1753.53,24,4.7,8,False
2023-09-04,Smartwatch,South,1894.02,11,4.7,5,True
2023-09-05,Headphones,South,962.73,42,4.6,9,False
2023-09-06,Tablet,South,251.08,16,4.5,5,True
2023-09-07,Smartwatch,North,589.62,38,3.1,3,True
2023-09-08,Tablet,East,542.64,17,3.3,6,True
2023-09-09,Laptop,Central,554.03,45,4.5,3,True
2023-09-10,Laptop,South,1038.38,44,4.2,2,True
2023-09-11,Smartwatch,South,1208.13,5,4.3,7,True
2023-09-12,Smartwatch,Central,332.77,20,4.4,3,True
2023-09-13,Headphones,East,1789.78,48,4.8,5,False
2023-09-14,Headphones,East,1277.95,35,4.3,9,False
2023-09-15,Tablet,Central,1234.78,48,3.6,4,False
2023-09-16,Smartwatch,West,1975.83,43,3.2,9,True
2023-09-17,Laptop,East,1293.47,14,3.9,6,True
2023-09-18,Headphones,Central,1865.02,26,4.4,3,True
2023-09-19,Headphones,Central,643.89,45,3.6,1,True
2023-09-20,Laptop,South,556.25,43,3.2,8,True
2023-09-21,Headphones,Central,1081.39,46,5.0,4,False
2023-09-22,Tablet,North,1066.36,42,3.8,6,True
2023-09-23,Smartwatch,South,530.32,24,3.4,2,True
2023-09-24,Laptop,South,1429.35,31,3.3,4,False
2023-09-25,Smartwatch,East,156.3,18,4.7,8,True
2023-09-26,Headphones,West,1412.2,39,4.6,2,True
2023-09-27,Headphones,East,968.64,22,4.2,6,False
2023-09-28,Laptop,North,1409.11,21,4.1,2,False
2023-09-29,Tablet,South,1006.45,34,4.9,8,True
2023-09-30,Smartphone,South,1956.93,25,3.5,3,True
2023-10-01,Laptop,Central,735.9,40,3.8,9,False
2023-10-02,Smartphone,West,1966.89,47,3.0,6,True
2023-10-03,Smartphone,West,223.45,30,3.8,3,True
2023-10-04,Tablet,Central,1399.15,6,3.8,2,False
2023-10-05,Smartphone,North,963.02,45,4.9,8,False
2023-10-06,Smartphone,West,1662.06,25,3.7,4,False
2023-10-07,Tablet,South,1600.27,5,4.7,8,True
2023-10-08,Smartphone,North,1620.4,29,4.5,7,False
2023-10-09,Smartphone,East,280.0,22,3.3,2,True
2023-10-10,Smartphone,East,1662.49,3,4.9,7,False
2023-10-11,Laptop,North,506.68,47,4.3,4,True
2023-10-12,Laptop,South,148.79,30,4.2,6,False
2023-10-13,Laptop,East,513.7,24,3.0,8,False
2023-10-14,Tablet,South,1010.64,41,4.4,9,False
2023-10-15,Headphones,Central,1510.01,17,3.1,4,True
2023-10-16,Smartphone,West,515.4,49,3.4,3,True
2023-10-17,Smartphone,North,314.71,45,3.2,2,True
2023-10-18,Tablet,West,1327.34,20,3.8,4,False
2023-10-19,Smartphone,Central,1969.41,26,4.6,2,False
2023-10-20,Laptop,East,1241.65,5,4.4,3,False
2023-10-21,Headphones,South,1413.01,13,3.2,1,True
2023-10-22,Smartwatch,South,1166.22,39,4.6,7,True
2023-10-23,Smartphone,Central,1586.46,4,3.9,6,True
2023-10-24,Laptop,North,1954.03,45,3.1,1,False
2023-10-25,Smartwatch,West,1133.85,17,3.4,9,False
2023-10-26,Headphones,East,891.9,40,4.6,6,False
2023-10-27,Smartwatch,North,1734.65,35,4.5,5,False
2023-10-28,Laptop,Central,1942.48,31,3.4,1,False
2023-10-29,Smartwatch,Central,345.45,16,3.1,5,False
2023-10-30,Tablet,South,1198.52,34,3.6,2,False
2023-10-31,Smartwatch,East,1605.67,32,4.6,7,True
2023-11-01,Smartphone,North,1113.34,33,4.9,6,True
2023-11-02,Smartphone,South,877.47,8,4.1,4,True
2023-11-03,Tablet,East,1344.94,30,3.2,3,True
2023-11-04,Laptop,West,613.24,3,4.0,5,True
2023-11-05,Smartphone,West,763.35,17,5.0,3,False
2023-11-06,Headphones,South,1985.33,24,4.9,9,False
2023-11-07,Smartphone,North,1309.28,16,5.0,6,False
2023-11-08,Smartphone,East,1758.56,20,4.4,2,True
2023-11-09,Laptop,West,1634.76,10,3.9,7,True
2023-11-10,Smartwatch,West,1339.32,24,4.8,8,False
2023-11-11,Smartphone,North,1697.39,47,4.8,9,True
2023-11-12,Tablet,South,645.6,7,3.3,4,True
2023-11-13,Smartwatch,Central,1310.52,48,4.6,1,True
2023-11-14,Headphones,East,1222.15,49,4.8,8,False
2023-11-15,Laptop,West,1282.6,20,4.8,1,True
2023-11-16,Headphones,Central,420.4,13,4.4,5,True
2023-11-17,Smartwatch,North,626.76,29,4.1,2,False
2023-11-18,Smartwatch,South,644.65,10,4.6,8,True
2023-11-19,Smartwatch,East,1243.7,9,4.0,5,False
2023-11-20,Headphones,North,1947.84,7,3.6,6,True
2023-11-21,Smartwatch,South,1912.73,44,3.5,7,False
2023-11-22,Headphones,North,531.66,33,4.1,4,True
2023-11-23,Smartwatch,West,679.21,24,3.9,5,False
2023-11-24,Tablet,West,168.52,16,4.0,9,True
2023-11-25,Smartwatch,Central,857.75,32,3.5,6,False
2023-11-26,Headphones,North,1685.88,4,4.2,8,True
2023-11-27,Smartphone,West,1839.93,14,4.3,4,True
2023-11-28,Smartwatch,South,549.34,29,4.6,4,False
2023-11-29,Smartphone,Central,605.01,22,4.2,8,True
2023-11-30,Tablet,East,519.61,23,4.5,3,True
2023-12-01,Laptop,North,765.2,26,3.3,5,True
2023-12-02,Tablet,West,1629.04,26,3.2,3,True
2023-12-03,Smartwatch,South,1329.03,49,3.4,1,True
2023-12-04,Smartphone,North,1593.29,44,4.7,3,False
2023-12-05,Smartphone,South,1207.76,47,4.1,6,True
2023-12-06,Headphones,Central,589.69,22,3.9,6,True
2023-12-07,Smartphone,West,533.19,44,4.5,7,False
2023-12-08,Headphones,West,117.1,3,3.2,3,True
2023-12-09,Laptop,Central,1583.87,42,3.0,9,True
2023-12-10,Smartwatch,South,1709.53,17,3.6,9,True
2023-12-11,Headphones,North,1559.74,14,3.5,2,True
2023-12-12,Laptop,South,241.36,45,3.6,8,True
2023-12-13,Smartphone,North,1548.22,30,4.9,2,False
2023-12-14,Smartphone,Central,186.96,13,4.1,2,True
2023-12-15,Laptop,East,300.63,26,4.2,6,True
2023-12-16,Smartphone,North,936.9,40,4.3,8,False
2023-12-17,Laptop,West,1004.68,32,3.8,1,True
2023-12-18,Headphones,West,1650.63,46,5.0,8,False
2023-12-19,Headphones,West,1391.1,34,4.9,8,True
2023-12-20,Laptop,South,391.31,23,4.5,4,True
2023-12-21,Headphones,South,529.68,34,3.4,6,False
2023-12-22,Headphones,South,642.78,44,4.8,2,False
2023-12-23,Headphones,West,334.98,12,3.2,1,True
2023-12-24,Tablet,North,646.53,23,4.3,7,True
2023-12-25,Smartwatch,West,1484.34,28,3.9,7,False
2023-12-26,Smartphone,North,558.66,19,3.1,3,True
2023-12-27,Tablet,South,1687.18,48,4.8,3,False
2023-12-28,Headphones,East,992.08,34,4.9,1,True
2023-12-29,Laptop,South,713.58,8,4.8,1,False
2023-12-30,Headphones,Central,883.59,34,3.4,2,False
2023-12-31,Smartwatch,North,1448.04,42,3.7,3,False
2024-01-01,Headphones,East,1081.91,16,4.9,4,True
2024-01-02,Laptop,South,113.83,7,3.2,8,False
2024-01-03,Smartwatch,East,1852.42,27,4.2,5,True
2024-01-04,Headphones,West,225.39,20,4.0,2,False
2024-01-05,Smartwatch,North,1883.38,35,3.3,7,False
2024-01-06,Smartphone,Central,153.49,17,4.8,8,True
2024-01-07,Smartphone,West,1564.86,28,3.3,3,True
2024-01-08,Headphones,East,1115.88,8,4.2,6,False
2024-01-09,Smartwatch,South,1060.88,4,3.6,8,False
2024-01-10,Laptop,North,238.28,33,3.8,6,True
2024-01-11,Headphones,Central,553.62,22,3.4,6,True
2024-01-12,Smartphone,South,1577.34,31,4.2,8,False
2024-01-13,Smartphone,Central,1793.39,1,5.0,1,True
2024-01-14,Headphones,North,1105.33,41,4.7,2,False
2024-01-15,Smartwatch,East,771.35,14,4.4,3,True
2024-01-16,Smartphone,Central,213.89,7,4.5,7,True
2024-01-17,Smartwatch,North,1396.14,8,4.7,1,False
2024-01-18,Smartphone,Central,629.05,8,3.9,4,True
2024-01-19,Smartphone,South,204.53,24,4.1,3,True
2024-01-20,Tablet,Central,1365.12,1,4.8,8,True
2024-01-21,Smartphone,South,1022.87,35,4.4,7,False
2024-01-22,Laptop,South,122.73,41,3.3,1,False
2024-01-23,Headphones,North,310.76,8,4.6,9,False
2024-01-24,Headphones,West,1428.48,5,3.0,4,True
2024-01-25,Smartwatch,Central,220.98,32,4.7,7,True
2024-01-26,Smartphone,East,1745.33,1,4.6,6,False
2024-01-27,Laptop,South,691.52,2,4.7,3,True
2024-01-28,Smartwatch,West,268.47,42,3.0,6,True
2024-01-29,Tablet,South,1543.54,46,4.9,7,False
2024-01-30,Smartwatch,West,1096.41,15,4.2,5,True
2024-01-31,Smartwatch,West,682.62,42,4.6,4,True
2024-02-01,Smartphone,East,871.59,9,4.1,6,True
2024-02-02,Tablet,West,140.68,12,3.7,8,False
2024-02-03,Smartwatch,East,1359.13,10,3.6,7,False
2024-02-04,Laptop,North,794.97,24,3.1,3,True
2024-02-05,Laptop,South,1456.67,41,4.1,2,True
2024-02-06,Headphones,East,1293.53,19,3.3,5,True
2024-02-07,Tablet,South,1337.38,17,4.1,9,True
2024-02-08,Tablet,Central,1606.5,2,4.2,5,True
2024-02-09,Headphones,North,1299.2,10,3.9,1,True
2024-02-10,Smartwatch,Central,895.58,5,3.3,9,False
2024-02-11,Tablet,Central,840.86,39,3.9,2,False
2024-02-12,Laptop,West,327.21,6,4.8,2,True
2024-02-13,Laptop,West,1580.94,2,3.9,6,True
2024-02-14,Smartphone,Central,1546.11,8,3.7,3,True
2024-02-15,Tablet,West,567.97,4,4.3,5,False
2024-02-16,Smartwatch,South,1739.1,31,4.2,5,False
2024-02-17,Headphones,West,1219.11,36,3.2,3,True
2024-02-18,Headphones,Central,1009.51,8,3.5,8,True
2024-02-19,Smartwatch,West,133.24,31,4.0,3,False
2024-02-20,Smartphone,West,827.21,17,3.7,6,False
2024-02-21,Headphones,East,1317.27,46,3.6,5,True
2024-02-22,Tablet,East,270.52,40,3.9,7,True
2024-02-23,Smartphone,Central,973.18,14,3.6,6,True
2024-02-24,Tablet,South,1987.53,8,3.7,9,True
2024-02-25,Laptop,North,1461.42,25,4.5,2,False
2024-02-26,Smartphone,North,1139.05,14,4.0,6,True
2024-02-27,Headphones,Central,1112.76,23,4.7,5,False
2024-02-28,Smartphone,South,183.15,43,4.9,9,True
2024-02-29,Smartphone,South,1918.9,41,4.8,2,False
2024-03-01,Smartphone,South,1863.54,17,3.5,8,True
2024-03-02,Smartphone,East,1396.57,49,3.9,7,False
2024-03-03,Tablet,Central,288.12,12,4.1,1,False
2024-03-04,Laptop,North,494.88,20,4.7,3,False
2024-03-05,Smartwatch,South,449.43,34,4.1,4,True
2024-03-06,Smartphone,Central,1087.2,49,3.5,8,True
2024-03-07,Headphones,North,494.83,11,4.1,2,True
2024-03-08,Smartphone,East,1422.02,27,3.1,8,False
2024-03-09,Headphones,West,1135.94,9,4.7,2,True
2024-03-10,Tablet,North,133.55,18,4.1,3,False
2024-03-11,Headphones,North,1513.71,38,4.3,8,False
2024-03-12,Smartwatch,North,458.77,36,3.4,9,True
2024-03-13,Laptop,West,1667.28,46,4.1,5,True
2024-03-14,Headphones,South,774.59,28,4.1,4,False
2024-03-15,Headphones,West,743.38,20,4.2,3,True
2024-03-16,Laptop,North,122.45,42,4.7,3,False
2024-03-17,Smartwatch,East,1976.69,29,4.5,9,True
2024-03-18,Smartphone,North,1262.81,4,4.1,4,False
2024-03-19,Headphones,East,903.19,15,4.8,2,True
2024-03-20,Laptop,Central,283.58,41,3.7,4,True
2024-03-21,Tablet,East,1428.38,44,4.0,3,True
2024-03-22,Laptop,North,637.19,28,4.3,5,False
2024-03-23,Tablet,West,1977.73,40,3.9,4,False
2024-03-24,Smartwatch,North,1906.04,24,3.7,2,True
2024-03-25,Smartphone,North,1497.06,37,3.2,1,True
2024-03-26,Laptop,Central,1945.04,16,4.3,1,True
2024-03-27,Headphones,South,300.7,22,3.4,1,True
2024-03-28,Smartwatch,North,631.84,47,3.3,3,True
2024-03-29,Laptop,Central,581.16,17,3.4,2,True
2024-03-30,Headphones,West,236.82,1,4.4,4,False
2024-03-31,Laptop,Central,1947.23,31,3.3,3,True
2024-04-01,Tablet,Central,213.95,25,5.0,7,False
2024-04-02,Laptop,East,1727.71,12,4.5,8,True
2024-04-03,Laptop,South,1559.51,20,3.8,5,False
2024-04-04,Laptop,South,814.15,19,4.2,6,False
2024-04-05,Smartwatch,West,135.73,5,3.0,7,True
2024-04-06,Laptop,Central,111.58,15,4.7,9,True
2024-04-07,Headphones,West,487.59,41,3.5,1,True
2024-04-08,Tablet,West,1038.37,25,3.1,2,False
2024-04-09,Tablet,South,970.03,35,4.5,1,True
2024-04-10,Laptop,South,1212.06,44,3.7,9,False
2024-04-11,Smartwatch,South,1566.72,47,4.1,2,True
2024-04-12,Smartwatch,North,816.97,3,4.7,2,False
2024-04-13,Headphones,Central,404.69,18,4.6,5,True
2024-04-14,Laptop,West,1620.09,22,3.7,9,True
2024-04-15,Tablet,Central,732.11,16,4.7,3,True
2024-04-16,Smartwatch,West,645.08,15,3.8,8,True
2024-04-17,Laptop,West,1552.19,5,4.0,1,False
2024-04-18,Smartwatch,West,1874.86,42,4.2,2,True
